step,t,wing_q,wing_qd,wing_qdd,wing_q_R,wing_qd_R,wing_qdd_R,airspeed,v_air_wx,v_air_wy,v_air_wz,body_pitch_deg,mod_enabled,mod_delta,mod_mode,mod_smooth,mod_f_eff_hz,mod_fd_hz,mod_fu_hz,omega_w_norm_L,omega_w_norm_R,omega_c_norm_L,omega_c_norm_R,joint_pos_L,joint_pos_R,joint_vel_L,joint_vel_R,eta_tip_L,eta_tip_R,tau_twist_x_L,tau_twist_x_R,tau_hinge_L,tau_hinge_R,power_in_L,power_in_R,power_in_T,F_wang_x_L,F_wang_y_L,F_wang_z_L,tau_wang_x_L,tau_wang_y_L,tau_wang_z_L,F_link_x_L,F_link_y_L,F_link_z_L,tau_link_x_L,tau_link_y_L,tau_link_z_L,F_world_x_L,F_world_y_L,F_world_z_L,tau_world_x_L,tau_world_y_L,tau_world_z_L,F_wang_x_R,F_wang_y_R,F_wang_z_R,tau_wang_x_R,tau_wang_y_R,tau_wang_z_R,F_link_x_R,F_link_y_R,F_link_z_R,tau_link_x_R,tau_link_y_R,tau_link_z_R,F_world_x_R,F_world_y_R,F_world_z_R,tau_world_x_R,tau_world_y_R,tau_world_z_R,p_base_wx,p_base_wy,p_base_wz,p_wing_L_wx,p_wing_L_wy,p_wing_L_wz,p_wing_R_wx,p_wing_R_wy,p_wing_R_wz,F_world_x_T,F_world_y_T,F_world_z_T,tau_world_x_T,tau_world_y_T,tau_world_z_T,tau_world_x_T_about_base,tau_world_y_T_about_base,tau_world_z_T_about_base,aoa_mean_deg_L,aoa_mean_deg_R,aoa_max_deg_L,aoa_max_deg_R,aoa_frac_pre_L,aoa_frac_pre_R,aoa_frac_mid_L,aoa_frac_mid_R,aoa_frac_post_L,aoa_frac_post_R,del_sep_ratio_L,del_sep_ratio_R,del_Nc_L,del_Nc_R,del_Na_L,del_Na_R,del_Fx_suction_L,del_Fx_suction_R,del_Fx_camber_L,del_Fx_camber_R,del_Fx_friction_L,del_Fx_friction_R,del_Fx_total_L,del_Fx_total_R,del_k_mean_L,del_k_mean_R,del_alpha_prime_mean_L,del_alpha_prime_mean_R,del_alpha_le_mean_L,del_alpha_le_mean_R,del_alpha_tip_deg_L,del_alpha_tip_deg_R,del_alpha_prime_tip_deg_L,del_alpha_prime_tip_deg_R,del_alpha_le_tip_deg_L,del_alpha_le_tip_deg_R,del_theta_tip_deg_L,del_theta_tip_deg_R,mod_profile,mod_ff_amp,mod_ff_shift_deg
396,1.65,-0.161677691456974,9.379402731556683,57.44501478582185,-0.161677691456974,9.379402731556683,57.44501478582185,7.0,-7.0,0.0,0.0,10.0,0,0.5,0.0,0.0,3.0,3.0,3.0,9.379402160644531,9.379403114318848,9.379403114318848,9.379403114318848,-0.1307675987482071,-0.13031800091266632,5.868458271026611,6.029114723205566,0.12449301034212112,0.12449301034212112,0.0,0.0,nan,nan,13.017399787902832,13.017399787902832,26.034799575805664,0.0,-1.8024898767471313,0.2404121309518814,0.0,0.0,0.0,0.2404121309518814,0.0,-1.8024898767471313,0.0,0.0,0.0,0.5401591658592224,0.44296500086784363,-1.6789216995239258,0.0,0.0,0.0,0.0,-1.8024898767471313,0.2404121309518814,0.0,0.0,0.0,0.2404121309518814,0.0,-1.8024898767471313,-0.0,-0.0,-0.0,0.5401592254638672,-0.44296470284461975,-1.6789216995239258,0.0,0.0,0.0,0.0,1.1641532182693481e-10,0.6000000834465027,-4.470348358154297e-08,0.05600005388259888,0.6000000238418579,0.0,-0.055999934673309326,0.6000000238418579,1.0803184509277344,2.980232238769531e-07,-3.3578433990478516,0.0,0.0,0.0,-2.0116567611694336e-07,-1.394456461412119e-07,-8.009374141693115e-08,22.419750213623047,22.419754028320312,41.06745529174805,41.06745529174805,0.29311418533325195,0.29311418533325195,0.5812168121337891,0.5812168121337891,0.12566909193992615,0.12566909193992615,0.0,0.0,-1.0095598697662354,-1.0095598697662354,-0.7929300665855408,-0.7929300665855408,0.39227524399757385,0.39227524399757385,0.0,0.0,-0.15186308324337006,-0.15186308324337006,0.2404121309518814,0.2404121309518814,0.36832037568092346,0.36832037568092346,-0.19948716461658478,-0.19948716461658478,-0.04730219393968582,-0.04730219393968582,-45.807987213134766,-45.807987213134766,-30.672382354736328,-30.672382354736328,-20.722305297851562,-20.722305297851562,17.132923126220703,17.132923126220703,0.0,0.0,180.0
397,1.6541666666666666,-0.12213861436941101,9.589597391109322,43.396553013238616,-0.12213861436941101,9.589597391109322,43.396553013238616,7.0,-7.0,0.0,0.0,10.0,0,0.5,0.0,0.0,3.0,3.0,3.0,9.58959674835205,9.589594841003418,9.589598655700684,9.589598655700684,-0.09156780689954758,-0.09105605632066727,5.590600967407227,5.77244758605957,0.12728291749954224,0.12728291749954224,0.0,0.0,nan,nan,13.8722505569458,13.8722505569458,27.7445011138916,0.0,-1.9598760604858398,0.27545320987701416,0.0,0.0,0.0,0.27545320987701416,0.0,-1.9598760604858398,0.0,0.0,0.0,0.6042077541351318,0.4061696529388428,-1.840366244316101,0.0,0.0,0.0,0.0,-1.9598760604858398,0.27545320987701416,0.0,0.0,0.0,0.27545320987701416,0.0,-1.9598760604858398,-0.0,-0.0,-0.0,0.6042078137397766,-0.40616926550865173,-1.840366244316101,0.0,0.0,0.0,0.0,1.1641532182693481e-10,0.6000000834465027,-2.9802322387695312e-08,0.05600005388259888,0.6000000834465027,0.0,-0.0559999942779541,0.6000000238418579,1.2084155082702637,3.8743019104003906e-07,-3.680732488632202,0.0,0.0,0.0,-1.341104507446289e-07,-9.086078023301525e-08,-4.470348358154297e-08,22.62726593017578,22.62726593017578,41.47316360473633,41.47316360473633,0.27872011065483093,0.27872011065483093,0.5715620517730713,0.5715620517730713,0.14971785247325897,0.14971785247325897,0.0,0.0,-1.2838594913482666,-1.2838594913482666,-0.6760164499282837,-0.6760164499282837,0.42777714133262634,0.42777714133262634,0.0,0.0,-0.152323916554451,-0.152323916554451,0.27545320987701416,0.27545320987701416,0.36832037568092346,0.36832037568092346,-0.20705819129943848,-0.20705819129943848,-0.04940794035792351,-0.04940794035792351,-46.828758239746094,-46.828758239746094,-31.281362533569336,-31.281362533569336,-21.319076538085938,-21.319076538085938,17.292774200439453,17.292774200439453,0.0,0.0,180.0
398,1.6583333333333332,-0.08184651210904988,9.74066899388105,29.08053706051052,-0.08184651210904988,9.74066899388105,29.08053706051052,7.0,-7.0,0.0,0.0,10.0,0,0.5,0.0,0.0,3.0,3.0,3.0,9.740670204162598,9.740666389465332,9.740669250488281,9.740669250488281,-0.05181688070297241,-0.0512460321187973,5.276122570037842,5.477989196777344,0.12928810715675354,0.12928810715675354,0.0,0.0,nan,nan,14.512374877929688,14.512374877929688,29.024749755859375,0.0,-2.083364486694336,0.30605244636535645,0.0,0.0,0.0,0.30605244636535645,0.0,-2.083364486694336,0.0,0.0,0.0,0.6580528020858765,0.34931299090385437,-1.9695234298706055,0.0,0.0,0.0,0.0,-2.083364486694336,0.30605244636535645,0.0,0.0,0.0,0.30605244636535645,0.0,-2.083364486694336,-0.0,-0.0,-0.0,0.6580528020858765,-0.34931251406669617,-1.9695234298706055,0.0,0.0,0.0,0.0,1.1641532182693481e-10,0.6000000834465027,-2.9802322387695312e-08,0.056000083684921265,0.6000000834465027,-7.450580596923828e-08,-0.055999964475631714,0.6000000238418579,1.316105604171753,4.76837158203125e-07,-3.939046859741211,0.0,0.0,0.0,-2.5331974029541016e-07,-2.4466029913128295e-07,-6.332993507385254e-08,22.775354385375977,22.775354385375977,41.761016845703125,41.761016845703125,0.27872011065483093,0.27872011065483093,0.5715620517730713,0.5715620517730713,0.14971785247325897,0.14971785247325897,0.0,0.0,-1.5279209613800049,-1.5279209613800049,-0.5554434657096863,-0.5554434657096863,0.45871660113334656,0.45871660113334656,0.0,0.0,-0.15266412496566772,-0.15266412496566772,0.30605244636535645,0.30605244636535645,0.36832037568092346,0.36832037568092346,-0.21381676197052002,-0.21381676197052002,-0.050597093999385834,-0.050597093999385834,-47.56529235839844,-47.56529235839844,-31.725942611694336,-31.725942611694336,-21.7512149810791,-21.7512149810791,17.407663345336914,17.407663345336914,0.0,0.0,180.0
399,1.6624999999999999,-0.041049798884811195,9.831686133204364,14.585229926545164,-0.041049798884811195,9.831686133204364,14.585229926545164,7.0,-7.0,0.0,0.0,10.0,0,0.5,0.0,0.0,3.0,3.0,3.0,9.831686973571777,9.831682205200195,9.831686019897461,9.831686019897461,-0.011760573834180832,-0.01113404892385006,4.9268598556518555,5.147454738616943,0.13049617409706116,0.13049617409706116,0.0,0.0,nan,nan,14.915058135986328,14.915058135986328,29.830116271972656,0.0,-2.1712636947631836,0.3309227526187897,0.0,0.0,0.0,0.3309227526187897,0.0,-2.1712636947631836,0.0,0.0,0.0,0.6998618245124817,0.27644601464271545,-2.0634114742279053,0.0,0.0,0.0,0.0,-2.1712636947631836,0.3309227526187897,0.0,0.0,0.0,0.3309227526187897,0.0,-2.1712636947631836,-0.0,-0.0,-0.0,0.6998618245124817,-0.27644556760787964,-2.0634114742279053,0.0,0.0,0.0,0.0,1.1641532182693481e-10,0.6000000834465027,0.0,0.056000083684921265,0.6000000834465027,-1.1920928955078125e-07,-0.05599990487098694,0.6000000238418579,1.3997236490249634,4.470348358154297e-07,-4.1268229484558105,0.0,0.0,0.0,-3.8743019104003906e-07,-2.8769284199370304e-07,-8.940696716308594e-08,22.86593246459961,22.86593246459961,41.9364128112793,41.9364128112793,0.27872011065483093,0.27872011065483093,0.5591298341751099,0.5591298341751099,0.1621500849723816,0.1621500849723816,0.0,0.0,-1.7394623756408691,-1.7394623756408691,-0.431801438331604,-0.431801438331604,0.48379552364349365,0.48379552364349365,0.0,0.0,-0.15287275612354279,-0.15287275612354279,0.3309227526187897,0.3309227526187897,0.36832037568092346,0.36832037568092346,-0.21972620487213135,-0.21972620487213135,-0.05086739733815193,-0.05086739733815193,-48.013816833496094,-48.013816833496094,-32.003849029541016,-32.003849029541016,-22.016523361206055,-22.016523361206055,17.476879119873047,17.476879119873047,0.0,0.0,180.0
400,1.6666666666666667,-6.407352053138953e-16,9.862087658149079,2.276569080827609e-13,-6.407352053138953e-16,9.862087658149079,2.276569080827609e-13,7.0,-7.0,0.0,0.0,10.0,0,0.5,0.0,0.0,3.0,3.0,3.0,9.86208724975586,9.862083435058594,9.862088203430176,9.86208724975586,0.028353607282042503,0.029032060876488686,4.544875144958496,4.7827935218811035,0.13089969754219055,0.13089969754219055,0.0,0.0,nan,nan,15.064949989318848,15.064949989318848,30.129899978637695,0.0,-2.222243070602417,0.3490142822265625,0.0,0.0,0.0,0.3490142822265625,0.0,-2.222243070602417,0.0,0.0,0.0,0.7281527519226074,0.19224391877651215,-2.1196722984313965,0.0,0.0,0.0,0.0,-2.222243070602417,0.3490142822265625,0.0,0.0,0.0,0.3490142822265625,0.0,-2.222243070602417,-0.0,-0.0,-0.0,0.7281526923179626,-0.19224339723587036,-2.1196725368499756,0.0,0.0,0.0,0.0,1.1641532182693481e-10,0.6000000834465027,-4.470348358154297e-08,0.05600002408027649,0.6000000238418579,-1.1920928955078125e-07,-0.055999934673309326,0.6000000834465027,1.4563055038452148,5.21540641784668e-07,-4.239344596862793,0.0,0.0,0.0,-1.6391277313232422e-07,-3.9084267200450995e-07,-5.587935447692871e-08,22.900341033935547,22.90033721923828,42.00263214111328,42.00262451171875,0.27872011065483093,0.27872011065483093,0.5591298341751099,0.5591298341751099,0.1621500849723816,0.1621500849723816,0.0,0.0,-1.9165632724761963,-1.9165632724761963,-0.3056798577308655,-0.3056798577308655,0.5019572973251343,0.5019572973251343,0.0,0.0,-0.15294305980205536,-0.15294305980205536,0.3490142822265625,0.3490142822265625,0.36832037568092346,0.36832037568092346,-0.224754199385643,-0.224754199385643,-0.050221264362335205,-0.050221264362335205,-48.17204284667969,-48.17204284667969,-32.1136589050293,-32.1136589050293,-22.113658905029297,-22.113658905029297,17.5,17.5,0.0,0.0,180.0
401,1.6708333333333334,0.041049798884808066,9.83168613320437,-14.585229926544052,0.041049798884808066,9.83168613320437,-14.585229926544052,7.0,-7.0,0.0,0.0,10.0,0,0.5,0.0,0.0,3.0,3.0,3.0,9.831685066223145,9.831685066223145,9.831686019897461,9.831686019897461,0.06827794015407562,0.06900424510240555,4.1324591636657715,4.386183261871338,0.13049617409706116,0.13049617409706116,0.0,0.0,nan,nan,14.954747200012207,14.954747200012207,29.909494400024414,0.0,-2.2353920936584473,0.35955455899238586,0.0,0.0,0.0,0.35955455899238586,0.0,-2.2353920936584473,0.0,0.0,0.0,0.7418599724769592,0.10182613879442215,-2.1367106437683105,0.0,0.0,0.0,0.0,-2.2353920936584473,0.35955455899238586,0.0,0.0,0.0,0.35955455899238586,0.0,-2.2353920936584473,-0.0,-0.0,-0.0,0.7418599128723145,-0.10182566940784454,-2.1367106437683105,0.0,0.0,0.0,0.0,1.1641532182693481e-10,0.6000000834465027,-3.725290298461914e-08,0.05600005388259888,0.6000000834465027,-7.450580596923828e-09,-0.0559999942779541,0.6000000834465027,1.483719825744629,4.6938657760620117e-07,-4.273421287536621,0.0,0.0,0.0,-1.341104507446289e-07,-9.551841628763214e-08,-5.21540641784668e-08,22.8792724609375,22.8792724609375,41.96083450317383,41.96083450317383,0.27872011065483093,0.27872011065483093,0.5591298341751099,0.5591298341751099,0.1621500849723816,0.1621500849723816,0.0,0.0,-2.057718276977539,-2.057718276977539,-0.17767369747161865,-0.17767369747161865,0.5124273300170898,0.5124273300170898,0.0,0.0,-0.15287275612354279,-0.15287275612354279,0.35955455899238586,0.35955455899238586,0.36832037568092346,0.36832037568092346,-0.22887274622917175,-0.22887274622917175,-0.04866568744182587,-0.04866568744182587,-48.03916931152344,-48.03916931152344,-32.05481719970703,-32.05481719970703,-22.04214096069336,-22.04214096069336,17.476879119873047,17.476879119873047,0.0,0.0,180.0
402,1.675,0.08184651210904861,9.740668993881052,-29.08053706051007,0.08184651210904861,9.740668993881052,-29.08053706051007,7.0,-7.0,0.0,0.0,10.0,0,0.5,0.0,0.0,3.0,3.0,3.0,9.740670204162598,9.740669250488281,9.740669250488281,9.740669250488281,0.10776601731777191,0.10853583365678787,3.6921114921569824,3.9600343704223633,0.12928810715675354,0.12928810715675354,0.0,0.0,nan,nan,14.585567474365234,14.585567474365234,29.17113494873047,0.0,-2.210256576538086,0.3620760440826416,0.0,0.0,0.0,0.3620760440826416,0.0,-2.210256576538086,0.0,0.0,0.0,0.7403770089149475,0.010545114055275917,-2.1137795448303223,0.0,0.0,0.0,0.0,-2.210256576538086,0.3620760440826416,0.0,0.0,0.0,0.3620760440826416,0.0,-2.210256576538086,-0.0,-0.0,-0.0,0.7403770089149475,-0.010544641874730587,-2.1137795448303223,0.0,0.0,0.0,0.0,1.1641532182693481e-10,0.6000000834465027,7.450580596923828e-09,0.05600002408027649,0.6000000238418579,4.470348358154297e-08,-0.055999964475631714,0.6000000834465027,1.480754017829895,4.721805453300476e-07,-4.2275590896606445,0.0,0.0,0.0,-1.2665987014770508e-07,6.61122854239693e-08,-4.0978193283081055e-08,22.802621841430664,22.802621841430664,41.810081481933594,41.81007385253906,0.27872011065483093,0.27872011065483093,0.5715620517730713,0.5715620517730713,0.14971785247325897,0.14971785247325897,0.0,0.0,-2.161867380142212,-2.161867380142212,-0.04838939011096954,-0.04838939011096954,0.5147401690483093,0.5147401690483093,0.0,0.0,-0.15266412496566772,-0.15266412496566772,0.3620760440826416,0.3620760440826416,0.36832037568092346,0.36832037568092346,-0.2320580929517746,-0.2320580929517746,-0.04621187970042229,-0.04621187970042229,-47.6158332824707,-47.6158332824707,-31.82760238647461,-31.82760238647461,-21.802330017089844,-21.802330017089844,17.407663345336914,17.407663345336914,0.0,0.0,180.0
403,1.6791666666666667,0.12213861436940976,9.58959739110933,-43.396553013238176,0.12213861436940976,9.58959739110933,-43.396553013238176,7.0,-7.0,0.0,0.0,10.0,0,0.5,0.0,0.0,3.0,3.0,3.0,9.589598655700684,9.58959674835205,9.589598655700684,9.589598655700684,0.14657433331012726,0.14738300442695618,3.2265429496765137,3.5069572925567627,0.12728291749954224,0.12728291749954224,0.0,0.0,nan,nan,13.967082977294922,13.967082977294922,27.934165954589844,0.0,-2.1468679904937744,0.35643208026885986,0.0,0.0,0.0,0.35643208026885986,0.0,-2.1468679904937744,0.0,0.0,0.0,0.7235805988311768,-0.07624289393424988,-2.051025152206421,0.0,0.0,0.0,0.0,-2.1468679904937744,0.35643208026885986,0.0,0.0,0.0,0.35643208026885986,0.0,-2.1468679904937744,-0.0,-0.0,-0.0,0.7235805988311768,0.07624337077140808,-2.051025152206421,0.0,0.0,0.0,0.0,1.1641532182693481e-10,0.6000000834465027,-8.940696716308594e-08,0.05600005388259888,0.6000000238418579,1.4901161193847656e-08,-0.0559999942779541,0.6000000238418579,1.4471611976623535,4.76837158203125e-07,-4.102050304412842,0.0,0.0,0.0,-1.2665987014770508e-07,-2.390708004895714e-07,-3.725290298461914e-08,22.669456481933594,22.669456481933594,41.54730987548828,41.54730987548828,0.27872011065483093,0.27872011065483093,0.5715620517730713,0.5715620517730713,0.14971785247325897,0.14971785247325897,0.0,0.0,-2.2284164428710938,-2.2284164428710938,0.08154860883951187,0.08154860883951187,0.5087560415267944,0.5087560415267944,0.0,0.0,-0.152323916554451,-0.152323916554451,0.35643208026885986,0.35643208026885986,0.36832037568092346,0.36832037568092346,-0.23429086804389954,-0.23429086804389954,-0.042875271290540695,-0.042875271290540695,-46.9041862487793,-46.9041862487793,-31.43316650390625,-31.43316650390625,-21.39545249938965,-21.39545249938965,17.292774200439453,17.292774200439453,0.0,0.0,180.0
404,1.6833333333333333,0.16167769145697278,9.379402731556691,-57.445014785821414,0.16167769145697278,9.379402731556691,-57.445014785821414,7.0,-7.0,0.0,0.0,10.0,0,0.5,0.0,0.0,3.0,3.0,3.0,9.379404067993164,9.379401206970215,9.379403114318848,9.379403114318848,0.18446369469165802,0.1853063851594925,2.738633632659912,3.0297646522521973,0.12449301034212112,0.12449301034212112,0.0,0.0,nan,nan,13.117280006408691,13.117280006408691,26.234560012817383,0.0,-2.045743942260742,0.3427981734275818,0.0,0.0,0.0,0.3427981734275818,0.0,-2.045743942260742,0.0,0.0,0.0,0.6918288469314575,-0.153410866856575,-1.9494658708572388,0.0,0.0,0.0,0.0,-2.045743942260742,0.3427981734275818,0.0,0.0,0.0,0.3427981734275818,0.0,-2.045743942260742,-0.0,-0.0,-0.0,0.6918287873268127,0.15341126918792725,-1.9494657516479492,0.0,0.0,0.0,0.0,1.1641532182693481e-10,0.6000000834465027,-4.470348358154297e-08,0.05600002408027649,0.6000000238418579,-6.705522537231445e-08,-0.055999964475631714,0.6000000834465027,1.383657693862915,4.023313522338867e-07,-3.8989315032958984,0.0,0.0,0.0,-1.341104507446289e-07,-2.591060024315084e-07,-4.842877388000488e-08,22.478090286254883,22.47808837890625,41.167362213134766,41.167362213134766,0.27872011065483093,0.27872011065483093,0.5837315320968628,0.5837315320968628,0.13754841685295105,0.13754841685295105,0.0,0.0,-2.2572362422943115,-2.2572362422943115,0.2114924043416977,0.2114924043416977,0.49466127157211304,0.49466127157211304,0.0,0.0,-0.15186308324337006,-0.15186308324337006,0.3427981734275818,0.3427981734275818,0.36832037568092346,0.36832037568092346,-0.23555612564086914,-0.23555612564086914,-0.03867523744702339,-0.03867523744702339,-45.907833099365234,-45.907833099365234,-30.873506546020508,-30.873506546020508,-20.823583602905273,-20.823583602905273,17.132923126220703,17.132923126220703,0.0,0.0,180.0
405,1.6875,0.20021997181341372,9.111380935196111,-71.1393089398436,0.20021997181341372,9.111380935196111,-71.1393089398436,7.0,-7.0,0.0,0.0,10.0,0,0.5,0.0,0.0,3.0,3.0,3.0,9.111377716064453,9.111377716064453,9.111380577087402,9.111380577087402,0.2212008386850357,0.22207242250442505,2.231441020965576,2.531446695327759,0.12093554437160492,0.12093554437160492,0.0,0.0,nan,nan,12.061981201171875,12.061981201171875,24.12396240234375,0.0,-1.9078844785690308,0.3216618001461029,0.0,0.0,0.0,0.3216618001461029,0.0,-1.9078844785690308,0.0,0.0,0.0,0.6459392309188843,-0.21627435088157654,-1.8109327554702759,0.0,0.0,0.0,0.0,-1.9078844785690308,0.3216618001461029,0.0,0.0,0.0,0.3216618001461029,0.0,-1.9078844785690308,-0.0,-0.0,-0.0,0.6459392309188843,0.21627478301525116,-1.8109327554702759,0.0,0.0,0.0,0.0,1.1641532182693481e-10,0.6000000834465027,-1.4156103134155273e-07,0.0559999942779541,0.6000000238418579,-1.2665987014770508e-07,-0.055999964475631714,0.6000000238418579,1.2918784618377686,4.3213367462158203e-07,-3.6218655109405518,0.0,0.0,0.0,-5.21540641784668e-08,-5.627319978884771e-07,-1.862645149230957e-08,22.2261962890625,22.226198196411133,40.662925720214844,40.662925720214844,0.29311418533325195,0.29311418533325195,0.5812168121337891,0.5812168121337891,0.12566909193992615,0.12566909193992615,0.0,0.0,-2.248650550842285,-2.248650550842285,0.34076598286628723,0.34076598286628723,0.4729583263397217,0.4729583263397217,0.0,0.0,-0.1512964963912964,-0.1512964963912964,0.3216618001461029,0.3216618001461029,0.36832037568092346,0.36832037568092346,-0.23584358394145966,-0.23584358394145966,-0.03363516926765442,-0.03363516926765442,-44.63190460205078,-44.63190460205078,-30.151500701904297,-30.151500701904297,-20.089675903320312,-20.089675903320312,16.929096221923828,16.929096221923828,0.0,0.0,180.0
406,1.6916666666666667,0.2375278294637299,8.787184445528421,-84.39500559803153,0.2375278294637299,8.787184445528421,-84.39500559803153,7.0,-7.0,0.0,0.0,10.0,0,0.5,0.0,0.0,3.0,3.0,3.0,8.78718376159668,8.78718376159668,8.787184715270996,8.787184715270996,0.2565596401691437,0.25745490193367004,1.7081576585769653,2.0151443481445312,0.11663248389959335,0.11663248389959335,0.0,0.0,nan,nan,10.834026336669922,10.834026336669922,21.668052673339844,0.0,-1.7347400188446045,0.2937987446784973,0.0,0.0,0.0,0.2937987446784973,0.0,-1.7347400188446045,0.0,0.0,0.0,0.5871453285217285,-0.2607977092266083,-1.6379516124725342,0.0,0.0,0.0,0.0,-1.7347400188446045,0.2937987446784973,0.0,0.0,0.0,0.2937987446784973,0.0,-1.7347400188446045,-0.0,-0.0,-0.0,0.5871452689170837,0.26079800724983215,-1.6379514932632446,0.0,0.0,0.0,0.0,1.1641532182693481e-10,0.6000000834465027,-5.960464477539063e-08,0.05600002408027649,0.6000000238418579,-6.705522537231445e-08,-0.0559999942779541,0.6000000834465027,1.174290657043457,2.980232238769531e-07,-3.2759032249450684,0.0,0.0,0.0,-6.705522537231445e-08,-2.4245932195299247e-07,-2.60770320892334e-08,21.91101837158203,21.9110164642334,40.024566650390625,40.024566650390625,0.29311418533325195,0.29311418533325195,0.6039943099021912,0.6039943099021912,0.10289160162210464,0.10289160162210464,0.0,0.0,-2.203402280807495,-2.203402280807495,0.46866241097450256,0.46866241097450256,0.4444412291049957,0.4444412291049957,0.0,0.0,-0.15064246952533722,-0.15064246952533722,0.2937987446784973,0.2937987446784973,0.36832037568092346,0.36832037568092346,-0.23514774441719055,-0.23514774441719055,-0.027782412245869637,-0.027782412245869637,-43.08306884765625,-43.08306884765625,-29.270912170410156,-29.270912170410156,-19.197568893432617,-19.197568893432617,16.68254852294922,16.68254852294922,0.0,0.0,180.0
407,1.6958333333333333,0.2733712490593837,8.408812041718704,-97.1303789825204,0.2733712490593837,8.408812041718704,-97.1303789825204,7.0,-7.0,0.0,0.0,10.0,0,0.5,0.0,0.0,3.0,3.0,3.0,8.408808708190918,8.408808708190918,8.408811569213867,8.408811569213867,0.29032275080680847,0.29123619198799133,1.1721127033233643,1.4841368198394775,0.11161033809185028,0.11161033809185028,0.0,0.0,nan,nan,9.472184181213379,9.472184181213379,18.944368362426758,0.0,-1.5281660556793213,0.2602387070655823,0.0,0.0,0.0,0.2602387070655823,0.0,-1.5281660556793213,0.0,0.0,0.0,0.5170334577560425,-0.28373485803604126,-1.4335922002792358,0.0,0.0,0.0,0.0,-1.5281660556793213,0.2602387070655823,0.0,0.0,0.0,0.2602387070655823,0.0,-1.5281660556793213,-0.0,-0.0,-0.0,0.5170335173606873,0.28373512625694275,-1.4335922002792358,0.0,0.0,0.0,0.0,1.1641532182693481e-10,0.6000000834465027,-1.1175870895385742e-07,0.05600002408027649,0.6000000238418579,-9.685754776000977e-08,-0.055999934673309326,0.6000000238418579,1.034066915512085,2.682209014892578e-07,-2.8671844005584717,0.0,0.0,0.0,-1.2665987014770508e-07,-3.607058260968188e-07,-3.91155481338501e-08,21.529476165771484,21.529476165771484,39.24070739746094,39.24071502685547,0.29311418533325195,0.29311418533325195,0.6252607703208923,0.6252607703208923,0.08162510395050049,0.08162510395050049,0.0,0.0,-2.122609853744507,-2.122609853744507,0.5944437980651855,0.5944437980651855,0.41016075015068054,0.41016075015068054,0.0,0.0,-0.14992205798625946,-0.14992205798625946,0.2602387070655823,0.2602387070655823,0.36832037568092346,0.36832037568092346,-0.23346811532974243,-0.23346811532974243,-0.0211483221501112,-0.0211483221501112,-41.269535064697266,-41.269535064697266,-28.236406326293945,-28.236406326293945,-18.151994705200195,-18.151994705200195,16.394800186157227,16.394800186157227,0.0,0.0,180.0
